ticker,industry,strategy,mode,rank,metric_name,metric_value,industry_avg,company_name,asx_code
AOV.AX,Automobiles & Components,high_dividend_yield,per_industry,1,dividend_yield,4.98,3.152,AMOTIV LIMITED,AOV
SFC.AX,Automobiles & Components,high_dividend_yield,per_industry,2,dividend_yield,4.5,3.152,SCHAFFER CORPORATION LIMITED,SFC
BFL.AX,Banks,high_dividend_yield,per_industry,1,dividend_yield,7.49,5.09,BSP FINANCIAL GROUP LIMITED,BFL
KSL.AX,Banks,high_dividend_yield,per_industry,2,dividend_yield,7.2,5.09,KINA SECURITIES LIMITED,KSL
HNG.AX,Capital Goods,high_dividend_yield,per_industry,1,dividend_yield,9.52,3.1785365853658534,HANCOCK & GORE LTD,HNG
AAL.AX,Capital Goods,high_dividend_yield,per_industry,2,dividend_yield,8.19,3.1785365853658534,ALFABS AUSTRALIA LIMITED,AAL
DGT.AX,Class Pend,high_dividend_yield,per_industry,1,dividend_yield,3.82,3.82,DIGICO INFRASTRUCTURE REIT,DGT
IPH.AX,Commercial & Professional Services,high_dividend_yield,per_industry,1,dividend_yield,11.03,4.508,IPH LIMITED,IPH
MMS.AX,Commercial & Professional Services,high_dividend_yield,per_industry,2,dividend_yield,9.16,4.508,MCMILLAN SHAKESPEARE LIMITED,MMS
STP.AX,Consumer Discretionary Distribution & Retail,high_dividend_yield,per_industry,1,dividend_yield,20.0,4.769615384615385,STEP ONE CLOTHING LIMITED,STP
DSK.AX,Consumer Discretionary Distribution & Retail,high_dividend_yield,per_industry,2,dividend_yield,8.97,4.769615384615385,DUSK GROUP LIMITED,DSK
ATP.AX,Consumer Durables & Apparel,high_dividend_yield,per_industry,1,dividend_yield,14.0,7.351428571428571,ATLAS PEARLS LTD,ATP
FWD.AX,Consumer Durables & Apparel,high_dividend_yield,per_industry,2,dividend_yield,10.93,7.351428571428571,FLEETWOOD LIMITED,FWD
NDO.AX,Consumer Services,high_dividend_yield,per_industry,1,dividend_yield,12.59,4.004782608695652,NIDO EDUCATION LIMITED,NDO
EVO.AX,Consumer Services,high_dividend_yield,per_industry,2,dividend_yield,9.68,4.004782608695652,EMBARK EARLY EDUCATION LIMITED,EVO
MTS.AX,Consumer Staples Distribution & Retail,high_dividend_yield,per_industry,1,dividend_yield,5.18,4.076,METCASH LIMITED,MTS
EDV.AX,Consumer Staples Distribution & Retail,high_dividend_yield,per_industry,2,dividend_yield,5.16,4.076,ENDEAVOUR GROUP LIMITED,EDV
OEL.AX,Energy,high_dividend_yield,per_industry,1,dividend_yield,131.4,19.264285714285712,OTTO ENERGY LIMITED,OEL
TER.AX,Energy,high_dividend_yield,per_industry,2,dividend_yield,46.51,19.264285714285712,TERRACOM LIMITED,TER
AOF.AX,Equity Real Estate Investment Trusts (REITs),high_dividend_yield,per_industry,1,dividend_yield,17.75,5.963513513513513,AUSTRALIAN UNITY OFFICE FUND,AOF
ECF.AX,Equity Real Estate Investment Trusts (REITs),high_dividend_yield,per_industry,2,dividend_yield,11.33,5.963513513513513,ELANOR COMMERCIAL PROPERTY FUND,ECF
QFE.AX,Financial Services,high_dividend_yield,per_industry,1,dividend_yield,100.0,6.924905660377358,QUICKFEE LIMITED,QFE
