ticker,industry,strategy,mode,rank,metric_name,metric_value,industry_avg,company_name,asx_code
AFT.AX,Not Applic,high_market_cap,overall,1,market_cap,1647536569843712.0,,AFG 2023-1 TRUST IN RESPECT OF SERIES 2023-1,AFT
CBA.AX,Banks,high_market_cap,overall,2,market_cap,264610512896.0,,COMMONWEALTH BANK OF AUSTRALIA.,CBA
RIO.AX,Materials,high_market_cap,overall,3,market_cap,234917052416.0,,RIO TINTO LIMITED,RIO
BHP.AX,Materials,high_market_cap,overall,4,market_cap,228874993664.0,,BHP GROUP LIMITED,BHP
NEM.AX,Materials,high_market_cap,overall,5,market_cap,177794187264.0,,NEWMONT CORPORATION,NEM
WBC.AX,Banks,high_market_cap,overall,6,market_cap,132462493696.0,,WESTPAC BANKING CORPORATION,WBC
NAB.AX,Banks,high_market_cap,overall,7,market_cap,128731103232.0,,NATIONAL AUSTRALIA BANK LIMITED,NAB
ANZ.AX,Banks,high_market_cap,overall,8,market_cap,108220686336.0,,ANZ GROUP HOLDINGS LIMITED,ANZ
WES.AX,Consumer Discretionary Distribution & Retail,high_market_cap,overall,9,market_cap,91923841024.0,,WESFARMERS LIMITED,WES
CSL.AX,"Pharmaceuticals, Biotechnology & Life Sciences",high_market_cap,overall,10,market_cap,85537038336.0,,CSL LIMITED,CSL
MQG.AX,Financial Services,high_market_cap,overall,11,market_cap,77741907968.0,,MACQUARIE GROUP LIMITED,MQG
FMG.AX,Materials,high_market_cap,overall,12,market_cap,68537761792.0,,FORTESCUE LTD,FMG
XYZ.AX,Financial Services,high_market_cap,overall,13,market_cap,61856464896.0,,"BLOCK, INC.",XYZ
GMG.AX,Equity Real Estate Investment Trusts (REITs),high_market_cap,overall,14,market_cap,59748851712.0,,GOODMAN GROUP,GMG
TLS.AX,Telecommunication Services,high_market_cap,overall,15,market_cap,54473900032.0,,TELSTRA GROUP LIMITED,TLS
RMD.AX,Health Care Equipment & Services,high_market_cap,overall,16,market_cap,54080512000.0,,RESMED INC,RMD
TCL.AX,Transportation,high_market_cap,overall,17,market_cap,45008740352.0,,TRANSURBAN GROUP,TCL
WDS.AX,Energy,high_market_cap,overall,18,market_cap,43706294272.0,,WOODSIDE ENERGY GROUP LTD,WDS
NST.AX,Materials,high_market_cap,overall,19,market_cap,38443859968.0,,NORTHERN STAR RESOURCES LTD,NST
WOW.AX,Consumer Staples Distribution & Retail,high_market_cap,overall,20,market_cap,35890585600.0,,WOOLWORTHS GROUP LIMITED,WOW
ALL.AX,Consumer Services,high_market_cap,overall,21,market_cap,35531816960.0,,ARISTOCRAT LEISURE LIMITED,ALL
SIG.AX,Health Care Equipment & Services,high_market_cap,overall,22,market_cap,33928726528.0,,SIGMA HEALTHCARE LIMITED,SIG
BXB.AX,Commercial & Professional Services,high_market_cap,overall,23,market_cap,31152209920.0,,BRAMBLES LIMITED,BXB
QBE.AX,Insurance,high_market_cap,overall,24,market_cap,29765978112.0,,QBE INSURANCE GROUP LIMITED,QBE
COL.AX,Consumer Staples Distribution & Retail,high_market_cap,overall,25,market_cap,29084141568.0,,COLES GROUP LIMITED.,COL
AMC.AX,Materials,high_market_cap,overall,26,market_cap,29036492800.0,,AMCOR PLC,AMC
EVN.AX,Materials,high_market_cap,overall,27,market_cap,26438690816.0,,EVOLUTION MINING LIMITED,EVN
NWS.AX,Media & Entertainment,high_market_cap,overall,28,market_cap,24954488832.0,,NEWS CORPORATION..,NWS
REA.AX,Media & Entertainment,high_market_cap,overall,29,market_cap,24338632704.0,,REA GROUP LTD,REA
PME.AX,Health Care Equipment & Services,high_market_cap,overall,30,market_cap,23232759808.0,,PRO MEDICUS LIMITED,PME
WTC.AX,Software & Services,high_market_cap,overall,31,market_cap,22591436800.0,,WISETECH GLOBAL LIMITED,WTC
AAI.AX,Materials,high_market_cap,overall,32,market_cap,22255611904.0,,ALCOA CORPORATION,AAI
SCG.AX,Equity Real Estate Investment Trusts (REITs),high_market_cap,overall,33,market_cap,21908951040.0,,SCENTRE GROUP,SCG
CPU.AX,Commercial & Professional Services,high_market_cap,overall,34,market_cap,20191080448.0,,COMPUTERSHARE LIMITED.,CPU
XRO.AX,Software & Services,high_market_cap,overall,35,market_cap,20061691904.0,,XERO LIMITED,XRO
STO.AX,Energy,high_market_cap,overall,36,market_cap,19681503232.0,,SANTOS LIMITED,STO
ORG.AX,Utilities,high_market_cap,overall,37,market_cap,19432593408.0,,ORIGIN ENERGY LIMITED,ORG
FPH.AX,Health Care Equipment & Services,high_market_cap,overall,38,market_cap,19268093952.0,,FISHER & PAYKEL HEALTHCARE CORPORATION LIMITED,FPH
SGH.AX,Capital Goods,high_market_cap,overall,39,market_cap,19096352768.0,,SGH LIMITED,SGH
SUN.AX,Insurance,high_market_cap,overall,40,market_cap,19038570496.0,,SUNCORP GROUP LIMITED,SUN
IAG.AX,Insurance,high_market_cap,overall,41,market_cap,18685743104.0,,INSURANCE AUSTRALIA GROUP LIMITED,IAG
