ticker,industry,strategy,mode,rank,metric_name,metric_value,industry_avg,company_name,asx_code
ARB.AX,Automobiles & Components,high_market_cap,per_industry,1,market_cap,2661394432.0,508638785.5,ARB CORPORATION LIMITED.,ARB
AOV.AX,Automobiles & Components,high_market_cap,per_industry,2,market_cap,1197957120.0,508638785.5,AMOTIV LIMITED,AOV
CBA.AX,Banks,high_market_cap,per_industry,1,market_cap,264610512896.0,54339060326.333336,COMMONWEALTH BANK OF AUSTRALIA.,CBA
WBC.AX,Banks,high_market_cap,per_industry,2,market_cap,132462493696.0,54339060326.333336,WESTPAC BANKING CORPORATION,WBC
SGH.AX,Capital Goods,high_market_cap,per_industry,1,market_cap,19096352768.0,1200534809.4189188,SGH LIMITED,SGH
IFT.AX,Capital Goods,high_market_cap,per_industry,2,market_cap,9738365952.0,1200534809.4189188,INFRATIL LIMITED.,IFT
DGT.AX,Class Pend,high_market_cap,per_industry,1,market_cap,1527671424.0,782966512.0,DIGICO INFRASTRUCTURE REIT,DGT
EQU.AX,Class Pend,high_market_cap,per_industry,2,market_cap,38261600.0,782966512.0,EQUUS ENERGY LIMITED,EQU
BXB.AX,Commercial & Professional Services,high_market_cap,per_industry,1,market_cap,31152209920.0,1827013821.2444444,BRAMBLES LIMITED,BXB
CPU.AX,Commercial & Professional Services,high_market_cap,per_industry,2,market_cap,20191080448.0,1827013821.2444444,COMPUTERSHARE LIMITED.,CPU
WES.AX,Consumer Discretionary Distribution & Retail,high_market_cap,per_industry,1,market_cap,91923841024.0,3732444031.236842,WESFARMERS LIMITED,WES
JBH.AX,Consumer Discretionary Distribution & Retail,high_market_cap,per_industry,2,market_cap,10464355328.0,3732444031.236842,JB HI-FI LIMITED,JBH
BRG.AX,Consumer Durables & Apparel,high_market_cap,per_industry,1,market_cap,4266823680.0,357837279.73333335,BREVILLE GROUP LIMITED,BRG
FWD.AX,Consumer Durables & Apparel,high_market_cap,per_industry,2,market_cap,230526928.0,357837279.73333335,FLEETWOOD LIMITED,FWD
ALL.AX,Consumer Services,high_market_cap,per_industry,1,market_cap,35531816960.0,1978594772.8139534,ARISTOCRAT LEISURE LIMITED,ALL
LNW.AX,Consumer Services,high_market_cap,per_industry,2,market_cap,13344540672.0,1978594772.8139534,LIGHT & WONDER INC.,LNW
WOW.AX,Consumer Staples Distribution & Retail,high_market_cap,per_industry,1,market_cap,35890585600.0,12793247653.166666,WOOLWORTHS GROUP LIMITED,WOW
COL.AX,Consumer Staples Distribution & Retail,high_market_cap,per_industry,2,market_cap,29084141568.0,12793247653.166666,COLES GROUP LIMITED.,COL
WDS.AX,Energy,high_market_cap,per_industry,1,market_cap,43706294272.0,980285200.0737705,WOODSIDE ENERGY GROUP LTD,WDS
STO.AX,Energy,high_market_cap,per_industry,2,market_cap,19681503232.0,980285200.0737705,SANTOS LIMITED,STO
GMG.AX,Equity Real Estate Investment Trusts (REITs),high_market_cap,per_industry,1,market_cap,59748851712.0,4809097211.897436,GOODMAN GROUP,GMG
SCG.AX,Equity Real Estate Investment Trusts (REITs),high_market_cap,per_industry,2,market_cap,21908951040.0,4809097211.897436,SCENTRE GROUP,SCG
MQG.AX,Financial Services,high_market_cap,per_industry,1,market_cap,77741907968.0,2449448631.7083335,MACQUARIE GROUP LIMITED,MQG
XYZ.AX,Financial Services,high_market_cap,per_industry,2,market_cap,61856464896.0,2449448631.7083335,"BLOCK, INC.",XYZ
A2M.AX,"Food, Beverage & Tobacco",high_market_cap,per_industry,1,market_cap,6653735424.0,557194662.1081082,THE A2 MILK COMPANY LIMITED,A2M
TWE.AX,"Food, Beverage & Tobacco",high_market_cap,per_industry,2,market_cap,3996814336.0,557194662.1081082,TREASURY WINE ESTATES LIMITED,TWE
RMD.AX,Health Care Equipment & Services,high_market_cap,per_industry,1,market_cap,54080512000.0,2428192395.283951,RESMED INC,RMD
SIG.AX,Health Care Equipment & Services,high_market_cap,per_industry,2,market_cap,33928726528.0,2428192395.283951,SIGMA HEALTHCARE LIMITED,SIG
BIO.AX,Household & Personal Products,high_market_cap,per_industry,1,market_cap,92382832.0,29302144.454545453,BIOME AUSTRALIA LIMITED,BIO
BXN.AX,Household & Personal Products,high_market_cap,per_industry,2,market_cap,92208000.0,29302144.454545453,BIOXYNE LIMITED,BXN
QBE.AX,Insurance,high_market_cap,per_industry,1,market_cap,29765978112.0,8808371341.818182,QBE INSURANCE GROUP LIMITED,QBE
SUN.AX,Insurance,high_market_cap,per_industry,2,market_cap,19038570496.0,8808371341.818182,SUNCORP GROUP LIMITED,SUN
RIO.AX,Materials,high_market_cap,per_industry,1,market_cap,234917052416.0,1525338150.5729167,RIO TINTO LIMITED,RIO
BHP.AX,Materials,high_market_cap,per_industry,2,market_cap,228874993664.0,1525338150.5729167,BHP GROUP LIMITED,BHP
NWS.AX,Media & Entertainment,high_market_cap,per_industry,1,market_cap,24954488832.0,1792318156.4651163,NEWS CORPORATION..,NWS
REA.AX,Media & Entertainment,high_market_cap,per_industry,2,market_cap,24338632704.0,1792318156.4651163,REA GROUP LTD,REA
AFT.AX,Not Applic,high_market_cap,per_industry,1,market_cap,1647536569843712.0,20855592962977.113,AFG 2023-1 TRUST IN RESPECT OF SERIES 2023-1,AFT
AFI.AX,Not Applic,high_market_cap,per_industry,2,market_cap,8921242624.0,20855592962977.113,AUSTRALIAN FOUNDATION INVESTMENT COMPANY LIMITED,AFI
CSL.AX,"Pharmaceuticals, Biotechnology & Life Sciences",high_market_cap,per_industry,1,market_cap,85537038336.0,1272790862.240964,CSL LIMITED,CSL
TLX.AX,"Pharmaceuticals, Biotechnology & Life Sciences",high_market_cap,per_industry,2,market_cap,3986568448.0,1272790862.240964,TELIX PHARMACEUTICALS LIMITED,TLX
LLC.AX,Real Estate Management & Development,high_market_cap,per_industry,1,market_cap,3494678272.0,638248683.0869565,LENDLEASE GROUP,LLC
PXA.AX,Real Estate Management & Development,high_market_cap,per_industry,2,market_cap,2450905600.0,638248683.0869565,PEXA GROUP LIMITED,PXA
WBT.AX,Semiconductors & Semiconductor Equipment,high_market_cap,per_industry,1,market_cap,985365440.0,284589685.0,WEEBIT NANO LTD,WBT
AXE.AX,Semiconductors & Semiconductor Equipment,high_market_cap,per_industry,2,market_cap,95567632.0,284589685.0,ARCHER MATERIALS LIMITED,AXE
WTC.AX,Software & Services,high_market_cap,per_industry,1,market_cap,22591436800.0,861469339.6296296,WISETECH GLOBAL LIMITED,WTC
XRO.AX,Software & Services,high_market_cap,per_industry,2,market_cap,20061691904.0,861469339.6296296,XERO LIMITED,XRO
CDA.AX,Technology Hardware & Equipment,high_market_cap,per_industry,1,market_cap,5352399872.0,375393379.64,CODAN LIMITED,CDA
DDR.AX,Technology Hardware & Equipment,high_market_cap,per_industry,2,market_cap,1846150272.0,375393379.64,DICKER DATA LIMITED,DDR
TLS.AX,Telecommunication Services,high_market_cap,per_industry,1,market_cap,54473900032.0,5838022131.461538,TELSTRA GROUP LIMITED,TLS
TPG.AX,Telecommunication Services,high_market_cap,per_industry,2,market_cap,7323014656.0,5838022131.461538,TPG TELECOM LIMITED.,TPG
TCL.AX,Transportation,high_market_cap,per_industry,1,market_cap,45008740352.0,4433326113.416667,TRANSURBAN GROUP,TCL
