industry,avg_pe,median_pe,n_pe,avg_market_cap,median_market_cap,n_market_cap,avg_eps,median_eps,n_eps,avg_price_to_book,median_price_to_book,n_price_to_book,avg_dividend_yield,median_dividend_yield,n_dividend_yield
Automobiles & Components,19.974302714285717,11.061452,7,508638785.5,62949360.0,10,0.24,0.01,10,0.9490482850000002,0.8898909749999999,10,3.152,3.52,5
Banks,20.333739625,19.3403485,12,54339060326.333336,4041335424.0,12,1.1308333333333334,0.22,12,1.2515314483333333,0.9720389,12,5.09,4.615,10
Capital Goods,29.541877083333333,20.084966,54,1200534809.4189188,180984424.0,74,0.11452054794520547,0.03,73,3.697553915783784,2.12047805,74,3.1785365853658534,2.7,41
Class Pend,52.792652,52.792652,1,782966512.0,782966512.0,2,-0.15377172000000003,0.0,3,3.123563994,0.6088683,5,3.82,3.82,1
Commercial & Professional Services,29.544771833333336,16.666666,27,1827013821.2444444,38644356.0,45,0.12000000000000001,0.0,44,4.175632458409091,2.3176916,44,4.508,3.14,15
Consumer Discretionary Distribution & Retail,26.86205432352941,21.196923499999997,34,3732444031.236842,340502048.0,38,0.35789473684210527,0.10500000000000001,38,4.41931759081081,2.4075012,37,4.769615384615385,3.9400000000000004,26
Consumer Durables & Apparel,13.940700322222222,14.5,9,357837279.73333335,60759776.0,15,0.125,0.025,14,0.6068407418571427,1.38139555,14,7.351428571428571,7.81,7
Consumer Services,45.670820657142855,22.622478,35,1978594772.8139534,215651856.0,43,0.26880952380952383,0.035,42,3.8740119311627907,1.8042814,43,4.004782608695652,2.6,23
Consumer Staples Distribution & Retail,26.4307456,26.753086,5,12793247653.166666,5090531456.0,6,0.3766666666666667,0.25,6,3.2262622166666666,1.9422337,6,4.076,3.98,5
Energy,21.504613258064516,10.303687,31,980285200.0737705,30137245.0,122,0.008512396694214877,-0.0,121,1.8387092760344828,1.18275065,116,19.264285714285712,8.58,14
Equity Real Estate Investment Trusts (REITs),23.4947813972973,15.555554,37,4809097211.897436,1743335040.0,39,0.18846153846153846,0.17,39,6.280665483333334,0.9470468,39,5.963513513513513,5.61,37
Financial Services,21.339705331578944,13.343626,76,2449448631.7083335,116525132.0,96,0.3772172631578947,0.04,95,2.5594555134408603,1.4390898,93,6.924905660377358,4.59,53
"Food, Beverage & Tobacco",14.918867954545455,12.957012500000001,22,557194662.1081082,64405188.0,37,0.025625405405405404,-0.0,37,1.389800502368421,1.06222055,38,4.2565100000000005,4.279999999999999,10
Health Care Equipment & Services,46.69955982068966,24.452555,29,2428192395.283951,69272600.0,81,0.08630390243902439,-0.01,82,4.281872548375,2.2666666500000003,80,2.5294444444444446,2.26,18
Household & Personal Products,3.4805556,3.9166667,3,29302144.454545453,14126071.0,11,-0.011818181818181818,0.0,11,-1.4167426645454546,0.47285712,11,1.7,1.7,1
Insurance,20.113,17.466665,11,8808371341.818182,3568741376.0,11,0.6163636363636363,0.3,11,2.470172309090909,2.1094344,11,5.389,4.46,10
Materials,47.931791473390206,13.409639,143,1525338150.5729167,32290352.0,768,-0.059751968503937006,-0.01,762,3.730125636466182,1.8607672,757,5.792156862745099,2.86,51
Media & Entertainment,27.591418864545457,20.298077499999998,22,1792318156.4651163,54762908.0,43,0.19166666666666668,-0.0,42,2.406782193095238,1.65553665,42,9.250625,4.34,16
Not Applic,17.83874055409836,12.117646,61,20855592962977.113,206243984.0,79,0.16861111111111113,0.11,72,1.0525482191525424,0.95682037,59,7.19359375,5.25,64
"Pharmaceuticals, Biotechnology & Life Sciences",31.7984525998125,17.5723675,16,1272790862.240964,49894812.0,83,0.04783132530120482,-0.02,83,3.695691690632912,3.0,79,3.3480000000000003,2.58,5
Real Estate Management & Development,22.8579534,15.3508775,16,638248683.0869565,202624992.0,23,0.018095238095238095,0.05,21,1.4046661701818182,0.9699453499999999,22,3.314,3.3449999999999998,10
Semiconductors & Semiconductor Equipment,,,0,284589685.0,64131258.0,4,-0.0875,-0.075,4,5.535121925,4.340909,4,,,0
Software & Services,55.88311216153846,27.566542,39,861469339.6296296,46579080.0,108,0.03380952380952381,-0.01,105,-0.913964995669903,3.3536584,103,4.521538461538461,2.45,13
Technology Hardware & Equipment,18.87384509090909,11.599999,11,375393379.64,26033486.0,25,-0.053200000000000004,-0.01,25,9.529323047083333,1.7,24,4.81,4.085,4
Telecommunication Services,183.06432585714285,25.473686,7,5838022131.461538,1317667584.0,13,0.025384615384615387,-0.0,13,3.9873012376923076,2.7802725,13,5.718333333333334,5.324999999999999,6
Transportation,37.70615975789474,16.238096,19,4433326113.416667,471274496.0,24,0.14958333333333335,0.06,24,2.1325684895833334,1.28669765,24,3.901176470588235,4.29,17
Utilities,49.80224002333333,23.1805555,12,3678081876.736842,114181864.0,19,0.0605,-0.0,20,1.7361922674999999,1.8869276,20,4.673333333333334,5.35,9
