ticker,industry,strategy,mode,rank,metric_name,metric_value,industry_avg,company_name,asx_code
VMT.AX,Automobiles & Components,low_pe_absolute,per_industry,1,pe,1.725,19.974302714285717,VMOTO LIMITED,VMT
RPM.AX,Automobiles & Components,low_pe_absolute,per_industry,2,pe,2.75,19.974302714285717,RPM AUTOMOTIVE GROUP LIMITED,RPM
KSL.AX,Banks,low_pe_absolute,per_industry,1,pe,8.821428,20.333739625,KINA SECURITIES LIMITED,KSL
BFL.AX,Banks,low_pe_absolute,per_industry,2,pe,9.878049,20.333739625,BSP FINANCIAL GROUP LIMITED,BFL
MSI.AX,Capital Goods,low_pe_absolute,per_industry,1,pe,0.5,29.541877083333333,MULTISTACK INTERNATIONAL LIMITED,MSI
BOL.AX,Capital Goods,low_pe_absolute,per_industry,2,pe,2.9464285,29.541877083333333,BOOM LOGISTICS LIMITED,BOL
DGT.AX,Class Pend,low_pe_absolute,per_industry,1,pe,52.792652,52.792652,DIGICO INFRASTRUCTURE REIT,DGT
CLG.AX,Commercial & Professional Services,low_pe_absolute,per_industry,1,pe,1.039561,29.544771833333336,CLOSE THE LOOP LTD.,CLG
AVD.AX,Commercial & Professional Services,low_pe_absolute,per_industry,2,pe,1.5555555,29.544771833333336,AVADA GROUP LIMITED,AVD
NTD.AX,Consumer Discretionary Distribution & Retail,low_pe_absolute,per_industry,1,pe,2.875,26.86205432352941,NTAW HOLDINGS LIMITED,NTD
STP.AX,Consumer Discretionary Distribution & Retail,low_pe_absolute,per_industry,2,pe,5.0,26.86205432352941,STEP ONE CLOTHING LIMITED,STP
AMS.AX,Consumer Durables & Apparel,low_pe_absolute,per_industry,1,pe,1.35,13.940700322222222,ATOMOS LIMITED,AMS
ATP.AX,Consumer Durables & Apparel,low_pe_absolute,per_industry,2,pe,3.8999999,13.940700322222222,ATLAS PEARLS LTD,ATP
MFD.AX,Consumer Services,low_pe_absolute,per_industry,1,pe,3.0625002,45.670820657142855,MAYFIELD CHILDCARE LIMITED,MFD
RFG.AX,Consumer Services,low_pe_absolute,per_industry,2,pe,6.7123227,45.670820657142855,RETAIL FOOD GROUP LIMITED,RFG
MTS.AX,Consumer Staples Distribution & Retail,low_pe_absolute,per_industry,1,pe,12.692308,26.4307456,METCASH LIMITED,MTS
EDV.AX,Consumer Staples Distribution & Retail,low_pe_absolute,per_industry,2,pe,15.208334,26.4307456,ENDEAVOUR GROUP LIMITED,EDV
BNL.AX,Energy,low_pe_absolute,per_industry,1,pe,0.25,21.504613258064516,BLUE STAR HELIUM LIMITED,BNL
VEN.AX,Energy,low_pe_absolute,per_industry,2,pe,2.0,21.504613258064516,VINTAGE ENERGY LTD,VEN
APW.AX,Equity Real Estate Investment Trusts (REITs),low_pe_absolute,per_industry,1,pe,2.6355932,23.4947813972973,AIMS PROPERTY SECURITIES FUND,APW
ASK.AX,Equity Real Estate Investment Trusts (REITs),low_pe_absolute,per_industry,2,pe,7.022727,23.4947813972973,ABACUS STORAGE KING,ASK
BPH.AX,Financial Services,low_pe_absolute,per_industry,1,pe,1.0,21.339705331578944,BPH ENERGY LTD,BPH
