ticker,industry,strategy,mode,rank,metric_name,metric_value,industry_avg,company_name,asx_code
MQG.AX,Financial Services,high_eps,overall,1,eps,10.98,,MACQUARIE GROUP LIMITED,MQG
NEM.AX,Materials,high_eps,overall,2,eps,9.66,,NEWMONT CORPORATION,NEM
RIO.AX,Materials,high_eps,overall,3,eps,9.43,,RIO TINTO LIMITED,RIO
CSL.AX,"Pharmaceuticals, Biotechnology & Life Sciences",high_eps,overall,4,eps,9.26,,CSL LIMITED,CSL
XYZ.AX,Financial Services,high_eps,overall,5,eps,7.47,,"BLOCK, INC.",XYZ
LNW.AX,Consumer Services,high_eps,overall,6,eps,6.87,,LIGHT & WONDER INC.,LNW
AAI.AX,Materials,high_eps,overall,7,eps,6.83,,ALCOA CORPORATION,AAI
CBA.AX,Banks,high_eps,overall,8,eps,6.05,,COMMONWEALTH BANK OF AUSTRALIA.,CBA
COH.AX,Health Care Equipment & Services,high_eps,overall,9,eps,5.95,,COCHLEAR LIMITED,COH
REA.AX,Media & Entertainment,high_eps,overall,10,eps,5.12,,REA GROUP LTD,REA
JBH.AX,Consumer Discretionary Distribution & Retail,high_eps,overall,11,eps,4.21,,JB HI-FI LIMITED,JBH
BHP.AX,Materials,high_eps,overall,12,eps,2.66,,BHP GROUP LIMITED,BHP
ASX.AX,Financial Services,high_eps,overall,13,eps,2.59,,ASX LIMITED,ASX
WES.AX,Consumer Discretionary Distribution & Retail,high_eps,overall,14,eps,2.58,,WESFARMERS LIMITED,WES
DPM.AX,Materials,high_eps,overall,15,eps,2.57,,DPM METALS INC.,DPM
WDS.AX,Energy,high_eps,overall,16,eps,2.32,,WOODSIDE ENERGY GROUP LTD,WDS
NAB.AX,Banks,high_eps,overall,17,eps,2.21,,NATIONAL AUSTRALIA BANK LIMITED,NAB
WBC.AX,Banks,high_eps,overall,18,eps,1.99,,WESTPAC BANKING CORPORATION,WBC
QBE.AX,Insurance,high_eps,overall,19,eps,1.99,,QBE INSURANCE GROUP LIMITED,QBE
ANZ.AX,Banks,high_eps,overall,20,eps,1.96,,ANZ GROUP HOLDINGS LIMITED,ANZ
ALL.AX,Consumer Services,high_eps,overall,21,eps,1.89,,ARISTOCRAT LEISURE LIMITED,ALL
CAA.AX,Materials,high_eps,overall,22,eps,1.88,,CAPRAL LIMITED,CAA
SFC.AX,Automobiles & Components,high_eps,overall,23,eps,1.79,,SCHAFFER CORPORATION LIMITED,SFC
FMG.AX,Materials,high_eps,overall,24,eps,1.65,,FORTESCUE LTD,FMG
CPU.AX,Commercial & Professional Services,high_eps,overall,25,eps,1.55,,COMPUTERSHARE LIMITED.,CPU
AUB.AX,Insurance,high_eps,overall,26,eps,1.53,,AUB GROUP LIMITED,AUB
XRO.AX,Software & Services,high_eps,overall,27,eps,1.49,,XERO LIMITED,XRO
RMD.AX,Health Care Equipment & Services,high_eps,overall,28,eps,1.47,,RESMED INC,RMD
CIN.AX,Not Applic,high_eps,overall,29,eps,1.47,,CARLTON INVESTMENTS LIMITED,CIN
CCP.AX,Financial Services,high_eps,overall,30,eps,1.37,,CREDIT CORP GROUP LIMITED,CCP
MMS.AX,Commercial & Professional Services,high_eps,overall,31,eps,1.37,,MCMILLAN SHAKESPEARE LIMITED,MMS
SUN.AX,Insurance,high_eps,overall,32,eps,1.36,,SUNCORP GROUP LIMITED,SUN
SNZ.AX,Health Care Equipment & Services,high_eps,overall,33,eps,1.34,,SUMMERSET GROUP HOLDINGS LIMITED,SNZ
MAQ.AX,Software & Services,high_eps,overall,34,eps,1.34,,MACQUARIE TECHNOLOGY GROUP LIMITED,MAQ
GGP.AX,Materials,high_eps,overall,35,eps,1.33,,GREATLAND RESOURCES LIMITED,GGP
EQT.AX,Financial Services,high_eps,overall,36,eps,1.27,,EQT HOLDINGS LIMITED,EQT
NWS.AX,Media & Entertainment,high_eps,overall,37,eps,1.25,,NEWS CORPORATION..,NWS
PAC.AX,Financial Services,high_eps,overall,38,eps,1.24,,PACIFIC CURRENT GROUP LIMITED,PAC
OBL.AX,Financial Services,high_eps,overall,39,eps,1.23,,OMNI BRIDGEWAY LIMITED,OBL
ARB.AX,Automobiles & Components,high_eps,overall,40,eps,1.18,,ARB CORPORATION LIMITED.,ARB
APW.AX,Equity Real Estate Investment Trusts (REITs),high_eps,overall,41,eps,1.18,,AIMS PROPERTY SECURITIES FUND,APW
NEU.AX,"Pharmaceuticals, Biotechnology & Life Sciences",high_eps,overall,42,eps,1.14,,NEUREN PHARMACEUTICALS LIMITED,NEU
NST.AX,Materials,high_eps,overall,43,eps,1.12,,NORTHERN STAR RESOURCES LTD,NST
PME.AX,Health Care Equipment & Services,high_eps,overall,44,eps,1.11,,PRO MEDICUS LIMITED,PME
SOL.AX,Financial Services,high_eps,overall,45,eps,1.11,,WASHINGTON H. SOUL PATTINSON AND COMPANY LIMITED,SOL
KOV.AX,Capital Goods,high_eps,overall,46,eps,1.11,,KORVEST LTD,KOV
SHL.AX,Health Care Equipment & Services,high_eps,overall,47,eps,1.07,,SONIC HEALTHCARE LIMITED,SHL
LYL.AX,Capital Goods,high_eps,overall,48,eps,1.06,,LYCOPODIUM LIMITED,LYL
ANN.AX,Health Care Equipment & Services,high_eps,overall,49,eps,1.04,,ANSELL LIMITED,ANN
QAN.AX,Transportation,high_eps,overall,50,eps,1.04,,QANTAS AIRWAYS LIMITED,QAN
