ticker,industry,strategy,mode,rank,metric_name,metric_value,industry_avg,company_name,asx_code
VMT.AX,Automobiles & Components,low_pe_absolute,per_industry,1,pe,1.725,20.365293157142855,VMOTO LIMITED,VMT
RPM.AX,Automobiles & Components,low_pe_absolute,per_industry,2,pe,2.6000001,20.365293157142855,RPM AUTOMOTIVE GROUP LIMITED,RPM
KSL.AX,Banks,low_pe_absolute,per_industry,1,pe,8.75,20.380538041666668,KINA SECURITIES LIMITED,KSL
BFL.AX,Banks,low_pe_absolute,per_industry,2,pe,10.0,20.380538041666668,BSP FINANCIAL GROUP LIMITED,BFL
MSI.AX,Capital Goods,low_pe_absolute,per_industry,1,pe,0.5,30.32455403703704,MULTISTACK INTERNATIONAL LIMITED,MSI
BOL.AX,Capital Goods,low_pe_absolute,per_industry,2,pe,3.0,30.32455403703704,BOOM LOGISTICS LIMITED,BOL
DGT.AX,Class Pend,low_pe_absolute,per_industry,1,pe,52.792652,52.792652,DIGICO INFRASTRUCTURE REIT,DGT
CLG.AX,Commercial & Professional Services,low_pe_absolute,per_industry,1,pe,0.952931,29.273872792592595,CLOSE THE LOOP LTD.,CLG
AVD.AX,Commercial & Professional Services,low_pe_absolute,per_industry,2,pe,1.5555555,29.273872792592595,AVADA GROUP LIMITED,AVD
NTD.AX,Consumer Discretionary Distribution & Retail,low_pe_absolute,per_industry,1,pe,2.875,27.039673235294117,NTAW HOLDINGS LIMITED,NTD
STP.AX,Consumer Discretionary Distribution & Retail,low_pe_absolute,per_industry,2,pe,5.0,27.039673235294117,STEP ONE CLOTHING LIMITED,STP
AMS.AX,Consumer Durables & Apparel,low_pe_absolute,per_industry,1,pe,1.3000001,14.135740555555556,ATOMOS LIMITED,AMS
ATP.AX,Consumer Durables & Apparel,low_pe_absolute,per_industry,2,pe,3.8999999,14.135740555555556,ATLAS PEARLS LTD,ATP
MFD.AX,Consumer Services,low_pe_absolute,per_industry,1,pe,3.0,45.30733489142857,MAYFIELD CHILDCARE LIMITED,MFD
RFG.AX,Consumer Services,low_pe_absolute,per_industry,2,pe,6.7123227,45.30733489142857,RETAIL FOOD GROUP LIMITED,RFG
MTS.AX,Consumer Staples Distribution & Retail,low_pe_absolute,per_industry,1,pe,12.653847,26.174415999999997,METCASH LIMITED,MTS
EDV.AX,Consumer Staples Distribution & Retail,low_pe_absolute,per_industry,2,pe,15.333334,26.174415999999997,ENDEAVOUR GROUP LIMITED,EDV
BNL.AX,Energy,low_pe_absolute,per_industry,1,pe,0.3,22.05837749677419,BLUE STAR HELIUM LIMITED,BNL
VEN.AX,Energy,low_pe_absolute,per_industry,2,pe,2.0,22.05837749677419,VINTAGE ENERGY LTD,VEN
APW.AX,Equity Real Estate Investment Trusts (REITs),low_pe_absolute,per_industry,1,pe,2.6271186,23.56267634054054,AIMS PROPERTY SECURITIES FUND,APW
ASK.AX,Equity Real Estate Investment Trusts (REITs),low_pe_absolute,per_industry,2,pe,7.022727,23.56267634054054,ABACUS STORAGE KING,ASK
BPH.AX,Financial Services,low_pe_absolute,per_industry,1,pe,1.0,21.470954234210527,BPH ENERGY LTD,BPH
OBL.AX,Financial Services,low_pe_absolute,per_industry,2,pe,1.1788619,21.470954234210527,OMNI BRIDGEWAY LIMITED,OBL
WNX.AX,"Food, Beverage & Tobacco",low_pe_absolute,per_industry,1,pe,1.8199999,15.038472254545455,WELLNEX LIFE LIMITED,WNX
DAI.AX,"Food, Beverage & Tobacco",low_pe_absolute,per_industry,2,pe,2.064516,15.038472254545455,DECIDR AI INDUSTRIES LTD,DAI
FCG.AX,Health Care Equipment & Services,low_pe_absolute,per_industry,1,pe,3.7,46.10078356551724,FREEDOM CARE GROUP HOLDINGS LIMITED,FCG
VIT.AX,Health Care Equipment & Services,low_pe_absolute,per_industry,2,pe,6.1000004,46.10078356551724,VITURA HEALTH LIMITED,VIT
PTL.AX,Household & Personal Products,low_pe_absolute,per_industry,1,pe,1.15,3.772222233333333,PRESTAL HOLDINGS LIMITED,PTL
MCP.AX,Household & Personal Products,low_pe_absolute,per_industry,2,pe,3.9166667,3.772222233333333,MCPHERSON'S LIMITED,MCP
TWR.AX,Insurance,low_pe_absolute,per_industry,1,pe,8.724999,20.077712181818182,TOWER LIMITED,TWR
QBE.AX,Insurance,low_pe_absolute,per_industry,2,pe,9.909548,20.077712181818182,QBE INSURANCE GROUP LIMITED,QBE
CLZ.AX,Materials,low_pe_absolute,per_industry,1,pe,0.0018181818,48.2485868337958,CLASSIC MINERALS LTD,CLZ
SVG.AX,Materials,low_pe_absolute,per_industry,2,pe,0.014166667,48.2485868337958,SAVANNAH GOLDFIELDS LIMITED,SVG
KNM.AX,Media & Entertainment,low_pe_absolute,per_industry,1,pe,0.20000002,27.648420441818185,KNEOMEDIA LIMITED,KNM
A1N.AX,Media & Entertainment,low_pe_absolute,per_industry,2,pe,6.3227954,27.648420441818185,ARN MEDIA LIMITED,A1N
AIQ.AX,Not Applic,low_pe_absolute,per_industry,1,pe,2.6727273,17.934893362295085,ALTERNATIVE INVESTMENT TRUST,AIQ
LSX.AX,Not Applic,low_pe_absolute,per_industry,2,pe,3.6666665,17.934893362295085,LION SELECTION GROUP LIMITED.,LSX
CAN.AX,"Pharmaceuticals, Biotechnology & Life Sciences",low_pe_absolute,per_industry,1,pe,0.029999997,37.8696463704375,CANN GROUP LIMITED,CAN
ILA.AX,"Pharmaceuticals, Biotechnology & Life Sciences",low_pe_absolute,per_industry,2,pe,0.47125843,37.8696463704375,ISLAND PHARMACEUTICALS LIMITED,ILA
TIA.AX,Real Estate Management & Development,low_pe_absolute,per_industry,1,pe,1.5999999,22.836030712499998,TIAN AN AUSTRALIA LIMITED,TIA
ACU.AX,Real Estate Management & Development,low_pe_absolute,per_industry,2,pe,7.5000005,22.836030712499998,ACUMENTIS GROUP LIMITED,ACU
NOR.AX,Software & Services,low_pe_absolute,per_industry,1,pe,1.4000001,55.93016621538462,NORWOOD SYSTEMS LIMITED,NOR
DCC.AX,Software & Services,low_pe_absolute,per_industry,2,pe,2.0,55.93016621538462,DIGITALX LIMITED,DCC
X2M.AX,Technology Hardware & Equipment,low_pe_absolute,per_industry,1,pe,0.5,19.22669847272727,X2M CONNECT LIMITED,X2M
DTI.AX,Technology Hardware & Equipment,low_pe_absolute,per_industry,2,pe,0.55,19.22669847272727,DTI GROUP LTD,DTI
CCG.AX,Telecommunication Services,low_pe_absolute,per_industry,1,pe,6.6,185.5584257142857,COMMS GROUP LTD,CCG
SPK.AX,Telecommunication Services,low_pe_absolute,per_industry,2,pe,16.375,185.5584257142857,SPARK NEW ZEALAND LIMITED,SPK
AQZ.AX,Transportation,low_pe_absolute,per_industry,1,pe,3.4583333,37.67827609473684,ALLIANCE AVIATION SERVICES LIMITED,AQZ
VGN.AX,Transportation,low_pe_absolute,per_industry,2,pe,5.4,37.67827609473684,VIRGIN AUSTRALIA HOLDINGS LIMITED.,VGN
EWC.AX,Utilities,low_pe_absolute,per_industry,1,pe,0.27647057,50.28256796416667,ENERGY WORLD CORPORATION LTD,EWC
AGL.AX,Utilities,low_pe_absolute,per_industry,2,pe,10.194472,50.28256796416667,AGL ENERGY LIMITED.,AGL
