ticker,industry,strategy,mode,rank,metric_name,metric_value,industry_avg,company_name,asx_code
CLZ.AX,Materials,low_pe_relative_industry,overall,1,pe_relative,3.7683628046209465e-05,,CLASSIC MINERALS LTD,CLZ
SVG.AX,Materials,low_pe_relative_industry,overall,2,pe_relative,0.00029361827837156337,,SAVANNAH GOLDFIELDS LIMITED,SVG
EM2.AX,Materials,low_pe_relative_industry,overall,3,pe_relative,0.0006141035819777809,,EAGLE MOUNTAIN MINING LIMITED,EM2
CAN.AX,"Pharmaceuticals, Biotechnology & Life Sciences",low_pe_relative_industry,overall,4,pe_relative,0.0007921911048902519,,CANN GROUP LIMITED,CAN
RAN.AX,Materials,low_pe_relative_industry,overall,5,pe_relative,0.0008882569793729304,,RANGE INTERNATIONAL LIMITED,RAN
IDA.AX,Materials,low_pe_relative_industry,overall,6,pe_relative,0.004974238537322126,,INDIANA RESOURCES LIMITED,IDA
EWC.AX,Utilities,low_pe_relative_industry,overall,7,pe_relative,0.005498338314722188,,ENERGY WORLD CORPORATION LTD,EWC
BDM.AX,Materials,low_pe_relative_industry,overall,8,pe_relative,0.005872365981951178,,BURGUNDY DIAMOND MINES LIMITED,BDM
KNM.AX,Media & Entertainment,low_pe_relative_industry,overall,9,pe_relative,0.0072336870173422396,,KNEOMEDIA LIMITED,KNM
MRC.AX,Materials,low_pe_relative_industry,overall,10,pe_relative,0.007698227126930737,,MINERAL COMMODITIES LTD,MRC
BCB.AX,Materials,low_pe_relative_industry,overall,11,pe_relative,0.010687910959472777,,BOWEN COKING COAL LIMITED,BCB
MVL.AX,Materials,low_pe_relative_industry,overall,12,pe_relative,0.011053864890119969,,MARVEL GOLD LIMITED,MVL
AJX.AX,Materials,low_pe_relative_industry,overall,13,pe_relative,0.012435597379605097,,ALEXIUM INTERNATIONAL GROUP LIMITED,AJX
ILA.AX,"Pharmaceuticals, Biotechnology & Life Sciences",low_pe_relative_industry,overall,14,pe_relative,0.012444225789440759,,ISLAND PHARMACEUTICALS LIMITED,ILA
BNL.AX,Energy,low_pe_relative_industry,overall,15,pe_relative,0.013600274999549349,,BLUE STAR HELIUM LIMITED,BNL
