ticker,industry,strategy,mode,rank,metric_name,metric_value,industry_avg,company_name,asx_code
VMT.AX,Automobiles & Components,low_pe_relative_industry,per_industry,1,pe_relative,0.08470292996469729,20.365293157142855,VMOTO LIMITED,VMT
RPM.AX,Automobiles & Components,low_pe_relative_industry,per_industry,2,pe_relative,0.12766818920493098,20.365293157142855,RPM AUTOMOTIVE GROUP LIMITED,RPM
KSL.AX,Banks,low_pe_relative_industry,per_industry,1,pe_relative,0.42933115809362843,20.380538041666668,KINA SECURITIES LIMITED,KSL
BFL.AX,Banks,low_pe_relative_industry,per_industry,2,pe_relative,0.4906641806784325,20.380538041666668,BSP FINANCIAL GROUP LIMITED,BFL
MSI.AX,Capital Goods,low_pe_relative_industry,per_industry,1,pe_relative,0.016488288645212148,30.32455403703704,MULTISTACK INTERNATIONAL LIMITED,MSI
BOL.AX,Capital Goods,low_pe_relative_industry,per_industry,2,pe_relative,0.09892973187127288,30.32455403703704,BOOM LOGISTICS LIMITED,BOL
DGT.AX,Class Pend,low_pe_relative_industry,per_industry,1,pe_relative,1.0,52.792652,DIGICO INFRASTRUCTURE REIT,DGT
CLG.AX,Commercial & Professional Services,low_pe_relative_industry,per_industry,1,pe_relative,0.032552269621159514,29.273872792592595,CLOSE THE LOOP LTD.,CLG
AVD.AX,Commercial & Professional Services,low_pe_relative_industry,per_industry,2,pe_relative,0.053138015288281736,29.273872792592595,AVADA GROUP LIMITED,AVD
NTD.AX,Consumer Discretionary Distribution & Retail,low_pe_relative_industry,per_industry,1,pe_relative,0.10632524938383295,27.039673235294117,NTAW HOLDINGS LIMITED,NTD
STP.AX,Consumer Discretionary Distribution & Retail,low_pe_relative_industry,per_industry,2,pe_relative,0.1849134771892747,27.039673235294117,STEP ONE CLOTHING LIMITED,STP
AMS.AX,Consumer Durables & Apparel,low_pe_relative_industry,per_industry,1,pe_relative,0.09196547537716945,14.135740555555556,ATOMOS LIMITED,AMS
ATP.AX,Consumer Durables & Apparel,low_pe_relative_industry,per_industry,2,pe_relative,0.2758963978344412,14.135740555555556,ATLAS PEARLS LTD,ATP
MFD.AX,Consumer Services,low_pe_relative_industry,per_industry,1,pe_relative,0.06621444424371897,45.30733489142857,MAYFIELD CHILDCARE LIMITED,MFD
RFG.AX,Consumer Services,low_pe_relative_industry,per_industry,2,pe_relative,0.1481509057216664,45.30733489142857,RETAIL FOOD GROUP LIMITED,RFG
MTS.AX,Consumer Staples Distribution & Retail,low_pe_relative_industry,per_industry,1,pe_relative,0.4834433364243925,26.174415999999997,METCASH LIMITED,MTS
EDV.AX,Consumer Staples Distribution & Retail,low_pe_relative_industry,per_industry,2,pe_relative,0.5858137961893783,26.174415999999997,ENDEAVOUR GROUP LIMITED,EDV
BNL.AX,Energy,low_pe_relative_industry,per_industry,1,pe_relative,0.013600274999549349,22.05837749677419,BLUE STAR HELIUM LIMITED,BNL
VEN.AX,Energy,low_pe_relative_industry,per_industry,2,pe_relative,0.09066849999699567,22.05837749677419,VINTAGE ENERGY LTD,VEN
APW.AX,Equity Real Estate Investment Trusts (REITs),low_pe_relative_industry,per_industry,1,pe_relative,0.11149491517989983,23.56267634054054,AIMS PROPERTY SECURITIES FUND,APW
ASK.AX,Equity Real Estate Investment Trusts (REITs),low_pe_relative_industry,per_industry,2,pe_relative,0.2980445386807403,23.56267634054054,ABACUS STORAGE KING,ASK
BPH.AX,Financial Services,low_pe_relative_industry,per_industry,1,pe_relative,0.04657454853155339,21.470954234210527,BPH ENERGY LTD,BPH
