ticker,industry,high_dividend_yield_overall_rank,high_dividend_yield_per_industry_rank,high_eps_overall_rank,high_eps_per_industry_rank,high_market_cap_overall_rank,high_market_cap_per_industry_rank,low_pe_absolute_overall_rank,low_pe_absolute_per_industry_rank,low_pe_relative_industry_overall_rank,low_pe_relative_industry_per_industry_rank,high_dividend_yield_overall_value,high_dividend_yield_per_industry_value,high_eps_overall_value,high_eps_per_industry_value,high_market_cap_overall_value,high_market_cap_per_industry_value,low_pe_absolute_overall_value,low_pe_absolute_per_industry_value,low_pe_relative_industry_overall_value,low_pe_relative_industry_per_industry_value,selected_in
4DS.AX,Semiconductors & Semiconductor Equipment,,,,1.0,,,,,,,,,,-0.01,,,,,,,high_eps_per_industry
A2M.AX,"Food, Beverage & Tobacco",,,,,,1.0,,,,,,,,,,6653735424.0,,,,,high_market_cap_per_industry
AAI.AX,Materials,,,7.0,,32.0,,,,,,,,6.89,,22255611904.0,,,,,,"high_eps_overall, high_market_cap_overall"
AAL.AX,Capital Goods,,2.0,,,,,,,,,,8.19,,,,,,,,,high_dividend_yield_per_industry
ACU.AX,Real Estate Management & Development,,,,,,,,2.0,,2.0,,,,,,,,7.5000005,,0.3281133865641707,"low_pe_absolute_per_industry, low_pe_relative_industry_per_industry"
ADN.AX,Materials,,,,,,,50.0,,37.0,,,,,,,,2.4,,0.050071151655835415,,"low_pe_absolute_overall, low_pe_relative_industry_overall"
AFA.AX,Financial Services,,,,,,,36.0,,50.0,,,,,,,,1.6,,0.07497760513273286,,"low_pe_absolute_overall, low_pe_relative_industry_overall"
AFI.AX,Not Applic,,,,,,2.0,,,,,,,,,,8921242624.0,,,,,high_market_cap_per_industry
AFT.AX,Not Applic,,,,,1.0,1.0,,,,,,,,,1647536569843712.0,1647536569843712.0,,,,,"high_market_cap_overall, high_market_cap_per_industry"
AGL.AX,Utilities,,,,,,,,2.0,,2.0,,,,,,,,10.150673,,0.20381960721534229,"low_pe_absolute_per_industry, low_pe_relative_industry_per_industry"
AGY.AX,Materials,,,,,,,,,43.0,,,,,,,,,,0.06258893956979428,,low_pe_relative_industry_overall
AIQ.AX,Not Applic,,,,,,,,1.0,,1.0,,,,,,,,2.709091,,0.1518655978982552,"low_pe_absolute_per_industry, low_pe_relative_industry_per_industry"
AJX.AX,Materials,,,,,,,18.0,,14.0,,,,,,,,0.70000005,,0.014604086942767656,,"low_pe_absolute_overall, low_pe_relative_industry_overall"
ALL.AX,Consumer Services,,,21.0,2.0,21.0,1.0,,,,,,,1.89,1.89,35531816960.0,35531816960.0,,,,,"high_eps_overall, high_eps_per_industry, high_market_cap_overall, high_market_cap_per_industry"
ALX.AX,Transportation,,1.0,,,,,,,,,,8.3,,,,,,,,,high_dividend_yield_per_industry
